,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
166,721.14927,0.2149,0.14772,1.162,110.802,2.258,2.19,1.204,1.218,1.476,1.487,0.974,0.995,0.974,0.935,0.937,83.37779,0.0005
167,721.495452,0.2257,0.14862,1.175,111.725,2.237,2.188,1.199,1.2,1.461,1.469,0.973,0.995,0.974,0.937,0.938,83.06234,0.0005
168,720.103334,0.22652,0.14672,1.16,106.269,2.198,2.185,1.194,1.201,1.447,1.482,0.974,0.995,0.974,0.938,0.937,84.70261,0.0005
169,726.132695,0.23227,0.14859,1.163,109.636,2.198,2.21,1.199,1.199,1.438,1.495,0.974,0.995,0.974,0.939,0.936,83.66781,0.0005
170,726.127857,0.23912,0.15106,1.174,119.751,2.251,2.231,1.196,1.238,1.455,1.493,0.973,0.994,0.973,0.937,0.937,84.08162,0.0005
171,723.003419,0.24413,0.14758,1.179,111.513,2.191,2.197,1.194,1.218,1.431,1.485,0.973,0.995,0.973,0.939,0.936,84.0248,0.0005
172,723.307336,0.24922,0.15111,1.189,119.273,2.28,2.218,1.206,1.209,1.496,1.507,0.973,0.994,0.974,0.933,0.934,84.96227,0.0005
173,721.017495,0.25533,0.15103,1.189,123.92,2.213,2.22,1.193,1.234,1.431,1.504,0.973,0.993,0.973,0.939,0.935,82.39461,0.0005
174,718.498439,0.25657,0.1489,1.176,115.508,2.223,2.208,1.194,1.193,1.443,1.492,0.973,0.994,0.975,0.938,0.936,83.46787,0.0005
175,718.591538,0.2581,0.14884,1.161,115.917,2.201,2.183,1.18,1.205,1.422,1.458,0.974,0.994,0.974,0.94,0.939,80.50607,0.0005
176,722.915773,0.26298,0.14917,1.17,117.361,2.218,2.221,1.186,1.197,1.464,1.508,0.973,0.994,0.974,0.936,0.935,82.72578,0.0005
177,736.934814,0.26453,0.15165,1.208,119.914,2.256,2.218,1.2,1.242,1.486,1.509,0.972,0.994,0.973,0.934,0.934,83.88252,0.0005
178,728.219648,0.26962,0.1502,1.177,121.018,2.222,2.209,1.184,1.2,1.44,1.486,0.973,0.994,0.974,0.938,0.936,84.05827,0.0005
179,727.327061,0.27311,0.14897,1.171,116.089,2.206,2.168,1.186,1.211,1.445,1.455,0.973,0.994,0.974,0.938,0.939,84.74742,0.0005
180,720.438178,0.27273,0.14702,1.167,112.114,2.165,2.159,1.181,1.195,1.405,1.434,0.974,0.994,0.975,0.941,0.941,84.0249,0.0005
181,729.744678,0.27357,0.14866,1.171,117.109,2.194,2.176,1.182,1.197,1.433,1.458,0.973,0.994,0.974,0.939,0.939,84.14567,0.0005
182,734.698311,0.27711,0.14611,1.162,113.712,2.157,2.128,1.181,1.19,1.391,1.425,0.974,0.994,0.975,0.942,0.941,84.07064,0.0005
183,729.16115,0.27488,0.14703,1.173,113.383,2.166,2.129,1.186,1.199,1.407,1.424,0.973,0.994,0.974,0.941,0.942,83.5002,0.0005
184,720.75448,0.28137,0.14669,1.177,112.662,2.151,2.146,1.187,1.218,1.402,1.456,0.973,0.994,0.974,0.942,0.939,84.50967,0.0005
185,716.272182,0.27693,0.15117,1.186,124.747,2.208,2.219,1.2,1.207,1.429,1.474,0.973,0.993,0.974,0.939,0.938,82.99647,0.0005
186,719.514084,0.27993,0.15006,1.178,122.552,2.183,2.209,1.185,1.206,1.428,1.489,0.973,0.993,0.974,0.939,0.936,82.83233,0.0005
187,724.17775,0.28106,0.15231,1.192,128.673,2.206,2.223,1.189,1.211,1.434,1.506,0.972,0.993,0.974,0.939,0.934,84.96472,0.0005
188,718.700151,0.2814,0.1484,1.181,119.725,2.202,2.198,1.185,1.206,1.428,1.478,0.973,0.994,0.974,0.939,0.937,82.65272,0.0005
189,715.231283,0.27435,0.14689,1.164,115.869,2.148,2.126,1.181,1.206,1.398,1.424,0.974,0.994,0.974,0.942,0.941,83.65111,0.0005
190,725.660772,0.2763,0.14573,1.168,115.289,2.149,2.116,1.177,1.206,1.394,1.41,0.974,0.994,0.974,0.942,0.943,84.2392,0.0005
191,722.698299,0.27699,0.14837,1.185,118.166,2.174,2.152,1.178,1.216,1.418,1.459,0.973,0.994,0.974,0.941,0.94,84.82009,0.0005
192,717.310971,0.27433,0.14514,1.175,110.14,2.133,2.128,1.179,1.212,1.39,1.431,0.973,0.995,0.974,0.943,0.941,82.90906,0.0005
193,718.433361,0.2713,0.1465,1.173,116.754,2.139,2.119,1.182,1.216,1.402,1.427,0.973,0.994,0.974,0.942,0.941,83.44778,0.0005
194,718.557207,0.26769,0.15293,1.2,132.328,2.196,2.229,1.186,1.23,1.432,1.52,0.972,0.992,0.973,0.939,0.933,83.46259,0.0005
195,730.148688,0.27347,0.14515,1.171,113.076,2.104,2.075,1.184,1.22,1.374,1.395,0.973,0.994,0.973,0.944,0.944,81.80228,0.0005
196,712.885897,0.2662,0.14401,1.165,110.796,2.108,2.077,1.172,1.217,1.356,1.387,0.974,0.995,0.974,0.945,0.945,81.94474,0.0005
197,719.65782,0.26299,0.14638,1.17,121.246,2.127,2.095,1.177,1.223,1.378,1.417,0.973,0.994,0.973,0.944,0.942,82.53137,0.0005
198,736.968126,0.24503,0.13749,1.143,99.552,2.03,2.008,1.162,1.204,1.31,1.338,0.975,0.996,0.974,0.949,0.949,89.27869,0.00025
199,734.208409,0.24285,0.13823,1.141,100.574,2.032,2.007,1.163,1.204,1.309,1.339,0.975,0.996,0.974,0.949,0.948,83.70725,0.00025
200,735.725741,0.23883,0.13621,1.139,96.212,2.021,1.998,1.162,1.203,1.301,1.331,0.975,0.996,0.974,0.95,0.949,86.15516,0.00025
201,714.31266,0.23645,0.13734,1.139,98.34,2.029,2.009,1.163,1.205,1.309,1.34,0.975,0.996,0.974,0.949,0.948,81.0427,0.00025
202,815.693694,0.23475,0.13829,1.14,107.395,2.024,1.996,1.162,1.205,1.304,1.332,0.975,0.995,0.974,0.95,0.949,85.51044,0.00025
203,742.903592,0.23101,0.13702,1.136,98.955,2.022,1.994,1.162,1.204,1.304,1.329,0.975,0.996,0.974,0.95,0.949,85.31309,0.00025
204,723.74905,0.22836,0.13876,1.137,103.554,2.022,2.004,1.164,1.203,1.305,1.339,0.975,0.995,0.974,0.95,0.948,86.15764,0.00025
205,728.192527,0.22681,0.13739,1.139,98.625,2.019,1.994,1.164,1.202,1.3,1.332,0.975,0.996,0.974,0.95,0.949,85.65357,0.00025
206,717.070899,0.22233,0.13868,1.137,107.564,2.014,1.993,1.164,1.2,1.3,1.333,0.975,0.995,0.974,0.95,0.949,83.20129,0.00025
207,717.766613,0.21945,0.13745,1.137,99.583,2.026,1.998,1.166,1.202,1.309,1.337,0.975,0.996,0.974,0.949,0.949,81.02225,0.00025
208,713.773282,0.2159,0.13759,1.133,101.767,2.019,2.007,1.166,1.199,1.304,1.345,0.975,0.995,0.974,0.95,0.948,81.11545,0.00025
209,718.060014,0.21331,0.1383,1.135,106.572,2.02,2.007,1.167,1.199,1.305,1.345,0.975,0.995,0.974,0.949,0.948,78.78658,0.00025
210,724.426788,0.20876,0.13801,1.132,98.269,2.025,1.992,1.168,1.198,1.308,1.329,0.975,0.996,0.974,0.949,0.949,81.30961,0.00025
211,718.052191,0.20635,0.1378,1.131,101.59,2.019,1.999,1.171,1.195,1.301,1.335,0.975,0.996,0.975,0.95,0.949,81.07645,0.00025
212,711.038744,0.20094,0.13653,1.124,99.257,2.008,1.982,1.168,1.194,1.296,1.323,0.975,0.996,0.975,0.95,0.95,84.05446,0.00025
213,713.762667,0.19763,0.13775,1.126,107.337,2.013,1.994,1.173,1.189,1.298,1.334,0.975,0.995,0.975,0.95,0.949,82.6984,0.00025
214,715.610538,0.19495,0.14052,1.124,109.784,2.032,1.999,1.171,1.193,1.316,1.341,0.976,0.995,0.975,0.949,0.949,81.94182,0.00025
215,715.065028,0.19105,0.13982,1.124,108.887,2.016,2.0,1.174,1.189,1.304,1.336,0.976,0.995,0.975,0.95,0.949,80.95455,0.00025
216,724.453966,0.18564,0.13557,1.112,98.516,2.003,1.979,1.173,1.182,1.292,1.322,0.976,0.996,0.975,0.951,0.95,78.60036,0.00025
217,712.54596,0.18298,0.13626,1.113,96.639,2.009,1.979,1.177,1.184,1.296,1.323,0.976,0.996,0.975,0.95,0.95,82.07969,0.00025
218,713.284425,0.17862,0.13689,1.114,98.5,2.005,1.985,1.175,1.187,1.295,1.33,0.976,0.996,0.975,0.95,0.949,82.23147,0.00025
219,711.410967,0.17553,0.13755,1.109,102.146,2.01,1.986,1.18,1.178,1.296,1.326,0.976,0.995,0.975,0.95,0.949,79.88606,0.00025
220,716.82854,0.17055,0.1382,1.112,106.552,2.011,1.992,1.179,1.18,1.302,1.331,0.976,0.995,0.975,0.95,0.95,79.48304,0.00025
221,723.819609,0.16686,0.1369,1.113,100.707,1.996,1.974,1.18,1.189,1.289,1.319,0.976,0.996,0.975,0.951,0.95,82.63615,0.00025
222,707.774767,0.16291,0.13935,1.144,110.619,2.025,2.009,1.182,1.179,1.314,1.351,0.975,0.995,0.975,0.95,0.949,79.33445,0.00025
223,707.339586,0.15891,0.13738,1.114,100.51,2.007,1.989,1.183,1.172,1.301,1.331,0.976,0.996,0.975,0.95,0.949,81.57039,0.00025
224,722.204032,0.15496,0.1365,1.114,100.441,1.998,1.976,1.182,1.17,1.292,1.322,0.976,0.996,0.976,0.951,0.95,83.23053,0.00025
225,720.997791,0.15276,0.13584,1.103,95.808,1.998,1.975,1.184,1.176,1.29,1.32,0.976,0.996,0.975,0.951,0.95,85.01313,0.00025
226,734.024637,0.14766,0.13887,1.108,104.671,2.003,1.979,1.187,1.17,1.292,1.322,0.976,0.995,0.976,0.951,0.95,84.9776,0.00025
227,726.357329,0.14506,0.13694,1.1,98.887,2.006,1.982,1.188,1.171,1.292,1.32,0.977,0.996,0.976,0.95,0.95,86.62573,0.00025
228,714.395035,0.14097,0.13557,1.093,95.681,1.994,1.972,1.185,1.181,1.287,1.318,0.977,0.996,0.975,0.951,0.95,84.54398,0.00025
229,720.353375,0.13754,0.13794,1.095,104.8,2.002,1.979,1.182,1.167,1.294,1.326,0.977,0.995,0.976,0.951,0.95,85.78219,0.00025
230,713.409319,0.1351,0.13691,1.094,98.365,2.004,1.987,1.181,1.176,1.294,1.326,0.977,0.996,0.975,0.95,0.95,83.08886,0.00025
231,720.962848,0.13121,0.13653,1.099,98.482,2.002,1.98,1.179,1.158,1.292,1.323,0.977,0.996,0.976,0.951,0.95,85.16441,0.00025
232,722.758823,0.12798,0.13641,1.093,96.519,2.004,1.982,1.178,1.156,1.294,1.324,0.977,0.996,0.976,0.951,0.95,85.67631,0.00025
233,712.760652,0.12558,0.13684,1.107,104.49,2.001,1.978,1.178,1.153,1.288,1.32,0.976,0.995,0.976,0.951,0.95,85.39792,0.00025
234,716.679276,0.1238,0.13551,1.105,97.168,2.0,1.977,1.177,1.153,1.289,1.318,0.976,0.996,0.976,0.951,0.95,83.58589,0.00025
235,716.256958,0.12081,0.13585,1.08,97.515,2.001,1.978,1.176,1.145,1.29,1.321,0.977,0.996,0.977,0.951,0.95,80.95243,0.00025
236,707.219484,0.11782,0.13388,1.079,91.78,1.997,1.974,1.171,1.153,1.287,1.316,0.977,0.996,0.976,0.951,0.95,80.38184,0.00025
237,711.171405,0.11784,0.13544,1.088,95.976,2.004,1.984,1.17,1.157,1.29,1.32,0.977,0.996,0.976,0.951,0.95,79.22366,0.00025
238,708.393655,0.11736,0.13516,1.084,94.738,2.007,1.984,1.168,1.155,1.293,1.322,0.977,0.996,0.976,0.95,0.95,80.39213,0.00025
239,709.867777,0.11591,0.1355,1.08,94.094,2.011,1.988,1.166,1.158,1.297,1.325,0.977,0.996,0.976,0.95,0.95,81.69929,0.00025
240,714.512999,0.11472,0.13422,1.084,92.821,2.009,1.985,1.169,1.139,1.295,1.323,0.977,0.996,0.977,0.95,0.95,81.07253,0.00025
241,728.482713,0.11466,0.13462,1.082,93.256,2.013,1.989,1.164,1.14,1.297,1.326,0.977,0.996,0.977,0.95,0.95,81.92835,0.00025
242,710.948761,0.11382,0.13482,1.115,98.169,2.012,1.987,1.16,1.153,1.295,1.324,0.976,0.996,0.976,0.95,0.95,81.4419,0.00025
243,712.735455,0.11445,0.13498,1.089,94.855,2.019,1.995,1.162,1.155,1.301,1.327,0.977,0.996,0.976,0.95,0.949,81.69325,0.00025
244,717.734949,0.11537,0.13393,1.076,91.399,2.019,1.995,1.159,1.15,1.301,1.33,0.978,0.996,0.976,0.95,0.949,82.38805,0.00025
245,713.85346,0.11718,0.13499,1.079,93.793,2.028,2.004,1.156,1.148,1.307,1.335,0.977,0.996,0.976,0.949,0.949,82.90354,0.00025
246,719.457418,0.11805,0.1365,1.091,97.854,2.032,2.004,1.16,1.136,1.306,1.336,0.977,0.996,0.977,0.949,0.949,80.35053,0.00025
247,718.043992,0.11999,0.13528,1.075,93.412,2.03,2.002,1.153,1.138,1.302,1.331,0.978,0.996,0.977,0.95,0.949,80.35343,0.00025
248,707.229144,0.12272,0.13481,1.075,93.737,2.03,2.006,1.153,1.124,1.304,1.335,0.978,0.996,0.977,0.95,0.949,81.03249,0.00025
249,709.21585,0.12431,0.13397,1.074,92.649,2.029,2.004,1.149,1.158,1.303,1.331,0.978,0.996,0.976,0.95,0.949,79.90821,0.00025
250,710.434717,0.12749,0.13499,1.082,100.03,2.031,2.004,1.146,1.123,1.303,1.331,0.977,0.996,0.977,0.95,0.949,80.60314,0.00025
251,707.069971,0.13027,0.13328,1.074,90.96,2.029,2.004,1.145,1.14,1.302,1.331,0.978,0.996,0.977,0.95,0.949,82.94177,0.00025
252,718.099208,0.13437,0.13341,1.069,91.0,2.032,2.008,1.15,1.131,1.306,1.334,0.978,0.996,0.977,0.949,0.949,80.28318,0.00025
253,721.830769,0.13839,0.13433,1.072,94.491,2.031,2.006,1.143,1.116,1.305,1.333,0.978,0.996,0.978,0.949,0.949,83.66724,0.00025
254,716.589214,0.14369,0.13359,1.075,92.448,2.034,2.011,1.144,1.117,1.305,1.335,0.978,0.996,0.978,0.949,0.949,85.46286,0.00025
255,715.810545,0.14579,0.1333,1.075,90.122,2.027,2.002,1.144,1.168,1.301,1.329,0.978,0.996,0.976,0.95,0.949,84.34161,0.00025
256,756.905539,0.15063,0.1329,1.064,89.994,2.026,2.0,1.149,1.125,1.302,1.33,0.978,0.996,0.977,0.95,0.949,83.91352,0.00025
257,710.429313,0.15575,0.13456,1.085,94.204,2.032,2.007,1.146,1.122,1.306,1.338,0.977,0.996,0.978,0.949,0.949,80.412,0.00025
258,716.175094,0.16038,0.13309,1.073,93.046,2.028,2.009,1.137,1.116,1.304,1.337,0.978,0.996,0.978,0.95,0.949,82.33734,0.00025
259,711.481773,0.16537,0.13283,1.073,90.441,2.02,1.997,1.137,1.129,1.296,1.326,0.978,0.996,0.978,0.95,0.949,83.89856,0.00025
260,723.277139,0.17212,0.13286,1.08,92.931,2.024,1.999,1.136,1.11,1.298,1.329,0.977,0.996,0.978,0.95,0.949,85.77492,0.00025
261,723.929618,0.17698,0.13303,1.071,91.228,2.022,1.996,1.138,1.109,1.298,1.328,0.978,0.996,0.978,0.95,0.949,85.21524,0.00025
262,713.234195,0.18205,0.13298,1.066,91.415,2.024,1.995,1.137,1.131,1.303,1.328,0.978,0.996,0.977,0.95,0.949,79.34153,0.00025
263,721.008572,0.18682,0.13376,1.073,94.827,2.033,2.028,1.138,1.102,1.309,1.351,0.978,0.996,0.978,0.949,0.947,81.88775,0.00025
264,722.41092,0.19485,0.13713,1.085,99.163,2.056,2.06,1.146,1.129,1.33,1.385,0.977,0.996,0.977,0.947,0.945,81.54566,0.00025
265,716.482661,0.20061,0.13455,1.078,94.941,2.038,2.012,1.137,1.129,1.313,1.342,0.978,0.996,0.977,0.949,0.948,83.48177,0.00025
266,714.002685,0.20115,0.13231,1.067,91.856,2.013,1.994,1.133,1.1,1.293,1.332,0.978,0.996,0.978,0.95,0.949,83.05367,0.00025
267,715.466717,0.20706,0.13276,1.065,92.093,2.026,1.991,1.128,1.105,1.306,1.327,0.978,0.996,0.978,0.949,0.949,82.61738,0.00025
268,714.380485,0.21462,0.13421,1.072,94.397,2.04,2.018,1.137,1.112,1.315,1.35,0.978,0.996,0.978,0.949,0.948,81.83175,0.00025
269,718.172624,0.21639,0.13311,1.074,93.006,2.028,1.994,1.136,1.12,1.302,1.328,0.978,0.996,0.978,0.95,0.95,80.45311,0.00025
270,707.759033,0.22229,0.13436,1.078,94.672,2.028,2.008,1.136,1.124,1.318,1.336,0.977,0.996,0.978,0.949,0.949,80.1975,0.00025
271,718.620347,0.22427,0.1325,1.07,93.369,2.01,2.0,1.129,1.101,1.297,1.329,0.978,0.996,0.978,0.95,0.949,81.67514,0.00025
272,719.424782,0.22941,0.13639,1.089,99.319,2.069,2.044,1.132,1.119,1.34,1.359,0.977,0.996,0.978,0.947,0.947,83.40853,0.00025
273,718.600461,0.23205,0.13376,1.083,95.914,2.019,2.01,1.133,1.106,1.298,1.336,0.977,0.996,0.978,0.95,0.949,85.43479,0.00025
274,720.320593,0.23674,0.13466,1.082,96.767,2.036,2.014,1.139,1.115,1.312,1.361,0.977,0.996,0.978,0.949,0.948,83.8002,0.00025
275,724.573854,0.24109,0.13969,1.103,107.442,2.091,2.098,1.137,1.129,1.365,1.402,0.976,0.995,0.977,0.945,0.943,85.03371,0.00025
276,723.835387,0.24315,0.13388,1.078,96.723,2.015,2.007,1.129,1.111,1.297,1.338,0.978,0.996,0.978,0.95,0.949,83.9017,0.00025
277,725.403426,0.24426,0.13338,1.079,94.574,2.02,2.013,1.13,1.108,1.302,1.336,0.977,0.996,0.978,0.95,0.949,85.47395,0.00025
278,731.123324,0.24537,0.13486,1.084,97.79,2.046,2.015,1.137,1.112,1.321,1.351,0.977,0.996,0.978,0.948,0.948,82.2316,0.00025
279,718.257876,0.24811,0.13337,1.082,94.666,2.006,1.986,1.133,1.109,1.285,1.327,0.977,0.996,0.978,0.951,0.949,85.24377,0.00025
280,719.752182,0.24788,0.13335,1.079,95.854,2.013,1.989,1.128,1.109,1.295,1.327,0.977,0.996,0.978,0.95,0.95,83.77143,0.00025
281,720.275784,0.24849,0.13381,1.08,96.016,2.008,1.983,1.129,1.11,1.296,1.323,0.977,0.996,0.978,0.95,0.95,82.71551,0.00025
282,728.019012,0.25332,0.13399,1.085,96.505,2.006,1.979,1.129,1.119,1.3,1.326,0.977,0.996,0.978,0.95,0.95,85.8666,0.00025
283,724.078194,0.25238,0.13379,1.082,96.854,2.014,1.984,1.131,1.117,1.289,1.319,0.977,0.996,0.978,0.951,0.95,85.95818,0.00025
284,724.775928,0.2529,0.13725,1.1,102.093,2.047,2.021,1.136,1.121,1.339,1.367,0.977,0.995,0.978,0.947,0.947,84.94064,0.00025
285,722.136899,0.25497,0.13392,1.088,98.423,2.008,1.999,1.13,1.119,1.297,1.336,0.977,0.996,0.978,0.95,0.949,85.10542,0.00025
286,728.603307,0.25232,0.13724,1.093,104.508,2.04,2.012,1.132,1.125,1.315,1.351,0.977,0.995,0.977,0.949,0.948,85.23869,0.00025
287,728.331951,0.2555,0.13497,1.093,97.97,2.04,1.996,1.134,1.127,1.305,1.337,0.977,0.996,0.977,0.95,0.95,81.90618,0.00025
288,736.091393,0.25177,0.14046,1.116,111.278,2.07,2.083,1.137,1.134,1.347,1.411,0.976,0.995,0.977,0.948,0.946,86.08015,0.00025
289,734.727481,0.25055,0.13298,1.09,96.158,1.994,1.968,1.132,1.123,1.283,1.314,0.977,0.996,0.978,0.951,0.95,83.59132,0.00025
290,722.598105,0.24884,0.13282,1.085,94.188,1.988,1.962,1.136,1.126,1.288,1.314,0.977,0.996,0.977,0.951,0.951,85.00052,0.00025
291,722.75328,0.24824,0.13434,1.093,97.91,2.018,1.975,1.131,1.133,1.304,1.322,0.977,0.996,0.977,0.95,0.95,85.71956,0.00025
292,734.671873,0.24577,0.13325,1.089,96.573,1.994,1.965,1.13,1.129,1.28,1.31,0.977,0.996,0.977,0.951,0.951,86.60536,0.00025
293,728.683527,0.24772,0.13464,1.09,98.913,2.012,1.97,1.131,1.136,1.305,1.322,0.977,0.996,0.977,0.95,0.95,83.79053,0.00025
294,729.197043,0.24809,0.13494,1.1,98.4,2.003,1.994,1.136,1.138,1.294,1.339,0.977,0.996,0.977,0.95,0.948,85.45279,0.00025
295,721.039691,0.24174,0.13237,1.086,95.65,1.971,1.95,1.13,1.134,1.269,1.299,0.977,0.996,0.977,0.952,0.952,86.47838,0.00025
296,729.038746,0.24204,0.13786,1.104,106.904,2.02,2.02,1.137,1.145,1.304,1.354,0.976,0.995,0.977,0.95,0.948,81.61841,0.00025
297,722.529013,0.23682,0.13325,1.087,96.79,1.998,1.963,1.131,1.136,1.279,1.309,0.977,0.996,0.977,0.952,0.951,82.5261,0.00025
298,720.271203,0.23609,0.13429,1.094,99.312,1.982,1.957,1.132,1.142,1.277,1.304,0.977,0.996,0.977,0.952,0.951,81.94021,0.00025
299,715.004467,0.23257,0.1364,1.093,109.359,1.99,1.956,1.132,1.149,1.298,1.309,0.977,0.995,0.976,0.951,0.951,81.9004,0.00025
300,725.231777,0.2334,0.13519,1.096,102.128,1.985,1.959,1.133,1.146,1.278,1.306,0.977,0.995,0.977,0.952,0.951,82.42383,0.00025
301,727.971278,0.231,0.13498,1.098,102.979,1.987,1.96,1.133,1.146,1.281,1.308,0.977,0.995,0.977,0.952,0.951,82.93125,0.00025
302,724.895089,0.22414,0.1336,1.087,99.19,1.988,1.943,1.135,1.141,1.288,1.299,0.977,0.996,0.977,0.951,0.952,82.49548,0.00025
303,721.279291,0.22341,0.1343,1.096,100.616,1.989,1.983,1.135,1.145,1.284,1.326,0.977,0.996,0.977,0.951,0.949,81.50595,0.00025
304,719.380332,0.22038,0.13336,1.089,102.686,1.961,1.937,1.133,1.143,1.264,1.292,0.977,0.995,0.977,0.953,0.952,82.54908,0.00025
305,721.09307,0.21663,0.13789,1.091,108.911,1.973,1.968,1.137,1.144,1.277,1.319,0.977,0.995,0.977,0.952,0.95,83.36721,0.00025
306,728.629346,0.21479,0.13281,1.09,94.798,1.966,1.939,1.137,1.141,1.27,1.294,0.977,0.996,0.977,0.952,0.952,82.56015,0.00025
307,723.099538,0.21132,0.1338,1.084,98.411,1.968,1.946,1.136,1.139,1.272,1.296,0.977,0.996,0.977,0.952,0.952,81.07619,0.00025
308,721.487688,0.20731,0.13463,1.091,99.754,1.976,1.968,1.141,1.144,1.271,1.309,0.977,0.996,0.977,0.952,0.951,82.36843,0.00025
309,714.951463,0.20469,0.13329,1.083,99.157,1.96,1.944,1.139,1.14,1.263,1.301,0.977,0.996,0.977,0.953,0.951,79.93625,0.00025
310,720.630336,0.20025,0.13393,1.083,99.601,1.955,1.936,1.139,1.142,1.256,1.292,0.977,0.996,0.977,0.953,0.952,82.2124,0.00025
311,715.148604,0.19645,0.13245,1.087,94.721,1.956,1.925,1.139,1.135,1.254,1.284,0.977,0.996,0.977,0.954,0.953,82.90193,0.00025
312,716.932392,0.1924,0.13354,1.091,101.438,1.958,1.93,1.142,1.136,1.267,1.288,0.977,0.995,0.977,0.953,0.952,83.26455,0.00025
313,714.716237,0.18776,0.13582,1.09,103.414,1.978,1.955,1.145,1.149,1.28,1.302,0.977,0.995,0.977,0.951,0.951,81.72896,0.00025
314,719.898145,0.1863,0.13442,1.081,100.499,1.965,1.958,1.144,1.135,1.27,1.308,0.977,0.996,0.977,0.952,0.951,82.75546,0.00025
315,719.32885,0.18395,0.1338,1.08,102.17,1.956,1.936,1.144,1.138,1.263,1.289,0.977,0.996,0.977,0.953,0.952,81.52188,0.00025
316,718.317166,0.17907,0.13556,1.08,110.389,1.963,1.935,1.145,1.139,1.265,1.288,0.977,0.995,0.977,0.953,0.952,80.29097,0.00025
317,713.639846,0.17382,0.13269,1.08,96.511,1.944,1.925,1.147,1.13,1.254,1.283,0.977,0.996,0.977,0.953,0.953,82.02938,0.00025
318,723.389814,0.16954,0.13341,1.074,95.023,1.949,1.931,1.148,1.139,1.254,1.288,0.978,0.996,0.977,0.953,0.952,83.11998,0.00025
319,715.255436,0.16527,0.1312,1.066,93.341,1.939,1.918,1.148,1.125,1.249,1.278,0.978,0.996,0.977,0.954,0.953,82.94507,0.00025
320,715.744025,0.16261,0.13398,1.069,97.575,1.951,1.932,1.155,1.135,1.256,1.288,0.978,0.996,0.977,0.953,0.952,82.67959,0.00025
321,715.432495,0.16024,0.13367,1.073,98.959,1.95,1.929,1.152,1.134,1.257,1.288,0.978,0.996,0.977,0.953,0.952,82.32063,0.00025
322,719.166194,0.15506,0.13306,1.07,102.995,1.947,1.931,1.151,1.126,1.257,1.287,0.978,0.996,0.977,0.953,0.952,81.12861,0.00025
323,717.8698,0.15027,0.13198,1.062,94.549,1.941,1.92,1.153,1.121,1.248,1.276,0.978,0.996,0.978,0.954,0.953,82.15925,0.00025
324,874.320778,0.14827,0.13361,1.073,100.185,1.951,1.926,1.153,1.146,1.254,1.286,0.978,0.996,0.977,0.953,0.952,82.07424,0.00025
325,719.397361,0.14321,0.13257,1.072,95.569,1.948,1.921,1.154,1.12,1.255,1.284,0.978,0.996,0.978,0.953,0.953,83.22297,0.00025
326,716.087328,0.14034,0.13213,1.068,93.936,1.947,1.923,1.155,1.132,1.252,1.282,0.978,0.996,0.977,0.954,0.953,83.25311,0.00025
327,730.39621,0.13753,0.13216,1.066,92.421,1.943,1.921,1.155,1.124,1.252,1.281,0.978,0.996,0.977,0.954,0.953,82.45457,0.00025
328,716.024801,0.13335,0.13266,1.057,96.278,1.946,1.922,1.151,1.116,1.249,1.28,0.978,0.996,0.978,0.954,0.953,83.25773,0.00025
329,721.265884,0.12995,0.13318,1.081,98.311,1.951,1.934,1.154,1.117,1.256,1.288,0.977,0.996,0.978,0.953,0.952,83.39852,0.00025
330,727.040086,0.1271,0.13143,1.075,93.745,1.95,1.924,1.151,1.117,1.255,1.282,0.978,0.996,0.978,0.953,0.953,83.35686,0.00025
331,721.644669,0.12501,0.13336,1.064,101.226,1.943,1.924,1.15,1.127,1.249,1.279,0.978,0.996,0.977,0.954,0.953,83.65877,0.00025
332,727.208496,0.12183,0.13076,1.049,90.429,1.942,1.922,1.149,1.127,1.25,1.28,0.979,0.996,0.977,0.954,0.953,82.70706,0.00025
333,723.483687,0.11986,0.13253,1.065,95.07,1.949,1.925,1.15,1.133,1.255,1.283,0.978,0.996,0.977,0.953,0.953,82.54388,0.00025
334,723.264526,0.11892,0.13156,1.052,94.477,1.949,1.929,1.15,1.118,1.254,1.285,0.979,0.996,0.978,0.953,0.953,83.67356,0.00025
335,723.035021,0.11536,0.1326,1.054,98.258,1.946,1.925,1.142,1.128,1.251,1.281,0.979,0.996,0.977,0.954,0.953,81.31716,0.00025
336,710.715844,0.11396,0.13218,1.076,93.921,1.95,1.931,1.143,1.139,1.253,1.285,0.978,0.996,0.977,0.954,0.953,82.51547,0.00025
337,713.735946,0.11306,0.13113,1.061,91.177,1.955,1.934,1.142,1.11,1.255,1.286,0.978,0.996,0.978,0.953,0.952,82.48075,0.00025
338,724.303384,0.11168,0.13063,1.049,91.983,1.952,1.929,1.141,1.105,1.254,1.283,0.979,0.996,0.978,0.953,0.953,81.28261,0.00025
339,720.349595,0.11126,0.1333,1.056,101.431,1.958,1.937,1.141,1.12,1.262,1.292,0.979,0.996,0.978,0.953,0.952,82.1715,0.00025
340,718.422448,0.11096,0.13059,1.046,90.109,1.958,1.935,1.138,1.117,1.256,1.285,0.979,0.996,0.978,0.953,0.953,82.24164,0.00025
